Latitude,Longitude,Total Segment Length (km),Average Modal Freeboard (m),Average Pressure Ridge (m),Ridge Fraction (%),Surface Roughness (m),File,Thickness (m),Source File
-69.27343031534416,-4.920430121772893,27.0,0.1,0.9456956386566162,0.5715776648786333,0.0616867616772651,processed_ATL10-02_20240101195909_02142201_006_01.h5,0.43,Combined_25km_jan24_gt1r.csv
-69.27343031534416,-4.920430121772893,27.0,0.1,0.9456956386566162,0.5715776648786333,0.0616867616772651,processed_ATL10-02_20240101195909_02142201_006_01.h5,0.43,Combined_25km_jan24_gt1r.csv
-74.4589562328357,-26.309706040886944,27.0,0.05,,0.0,0.0166113786399364,processed_ATL10-02_20240101213326_02152201_006_01.h5,0.25,Combined_25km_jan24_gt1r.csv
-74.21938530997002,-26.439316655412707,27.0,0.22,1.0871366262435913,0.0865410289002789,0.091240793466568,processed_ATL10-02_20240101213326_02152201_006_01.h5,0.86,Combined_25km_jan24_gt1r.csv
-73.9910772520602,-26.55975804475552,24.0,0.06,0.883075550198555,12.625916325487196,0.239704817533493,processed_ATL10-02_20240101213326_02152201_006_01.h5,0.28,Combined_25km_jan24_gt1r.csv
-74.4589562328357,-26.309706040886944,27.0,0.05,,0.0,0.0166113786399364,processed_ATL10-02_20240101213326_02152201_006_01.h5,0.25,Combined_25km_jan24_gt1r.csv
-74.21938530997002,-26.439316655412707,27.0,0.22,1.0871366262435913,0.0865410289002789,0.091240793466568,processed_ATL10-02_20240101213326_02152201_006_01.h5,0.86,Combined_25km_jan24_gt1r.csv
-73.9910772520602,-26.55975804475552,24.0,0.06,0.883075550198555,12.625916325487196,0.239704817533493,processed_ATL10-02_20240101213326_02152201_006_01.h5,0.28,Combined_25km_jan24_gt1r.csv
-72.84263266727353,-21.41250533119039,24.0,0.12,0.824021577835083,2.163313399069011,0.1603975296020507,processed_ATL10-02_20240102210747_02302201_006_01.h5,0.5,Combined_25km_jan24_gt1r.csv
-72.62312409686389,-21.513213134258194,18.0,0.1,,0.0,0.1265694499015808,processed_ATL10-02_20240102210747_02302201_006_01.h5,0.43,Combined_25km_jan24_gt1r.csv
-72.84263266727353,-21.41250533119039,24.0,0.12,0.824021577835083,2.163313399069011,0.1603975296020507,processed_ATL10-02_20240102210747_02302201_006_01.h5,0.5,Combined_25km_jan24_gt1r.csv
-72.62312409686389,-21.513213134258194,18.0,0.1,,0.0,0.1265694499015808,processed_ATL10-02_20240102210747_02302201_006_01.h5,0.43,Combined_25km_jan24_gt1r.csv
-75.67036265490216,-43.51238743448579,27.0,0.37,1.1667715708414714,7.078127945876783,0.2638408839702606,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.41,Combined_25km_jan24_gt1r.csv
-75.41783536362892,-43.66951061625286,18.0,0.27,1.0214177370071411,2.531967878652116,0.181434154510498,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.04,Combined_25km_jan24_gt1r.csv
-75.21855541428675,-43.78998615990733,27.0,0.21,1.0323420837521553,11.177827583418953,0.2703319787979126,processed_ATL10-02_20240102224204_02312201_006_01.h5,0.83,Combined_25km_jan24_gt1r.csv
-74.9926981191473,-43.9232604973719,24.0,0.32,1.0611078483717782,3.4852819866500795,0.207669973373413,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.23,Combined_25km_jan24_gt1r.csv
-74.76691496717197,-44.05295733291767,27.0,0.3,0.9626561760902403,1.2418414388472836,0.1588882803916931,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.15,Combined_25km_jan24_gt1r.csv
-74.54082321258687,-44.17955419393417,24.0,0.31,1.078458408514659,0.6727646104991436,0.1494650244712829,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.19,Combined_25km_jan24_gt1r.csv
-74.31661369925436,-44.30187709415051,27.0,0.29,1.0163757279515266,1.9904469527925053,0.1823236495256424,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.12,Combined_25km_jan24_gt1r.csv
-74.08867554383161,-44.42328271858747,24.0,0.3,1.1228933930397034,1.3301199942361563,0.1938870549201965,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.15,Combined_25km_jan24_gt1r.csv
-73.86254272729923,-44.54079075503514,27.0,0.34,1.143878422677517,3.3033674065437584,0.2352139353752136,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.3,Combined_25km_jan24_gt1r.csv
-73.63641534132539,-44.65558250014476,24.0,0.3,1.0908739070097606,3.229925397317857,0.2289266288280487,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.15,Combined_25km_jan24_gt1r.csv
-75.67036265490216,-43.51238743448579,27.0,0.37,1.1667715708414714,7.078127945876783,0.2638408839702606,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.41,Combined_25km_jan24_gt1r.csv
-75.41783536362892,-43.66951061625286,18.0,0.27,1.0214177370071411,2.531967878652116,0.181434154510498,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.04,Combined_25km_jan24_gt1r.csv
-75.21855541428675,-43.78998615990733,27.0,0.21,1.0323420837521553,11.177827583418953,0.2703319787979126,processed_ATL10-02_20240102224204_02312201_006_01.h5,0.83,Combined_25km_jan24_gt1r.csv
-74.9926981191473,-43.9232604973719,24.0,0.32,1.0611078483717782,3.4852819866500795,0.207669973373413,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.23,Combined_25km_jan24_gt1r.csv
-74.76691496717197,-44.05295733291767,27.0,0.3,0.9626561760902403,1.2418414388472836,0.1588882803916931,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.15,Combined_25km_jan24_gt1r.csv
-74.54082321258687,-44.17955419393417,24.0,0.31,1.078458408514659,0.6727646104991436,0.1494650244712829,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.19,Combined_25km_jan24_gt1r.csv
-74.31661369925436,-44.30187709415051,27.0,0.29,1.0163757279515266,1.9904469527925053,0.1823236495256424,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.12,Combined_25km_jan24_gt1r.csv
-74.08867554383161,-44.42328271858747,24.0,0.3,1.1228933930397034,1.3301199942361563,0.1938870549201965,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.15,Combined_25km_jan24_gt1r.csv
-73.86254272729923,-44.54079075503514,27.0,0.34,1.143878422677517,3.3033674065437584,0.2352139353752136,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.3,Combined_25km_jan24_gt1r.csv
-73.63641534132539,-44.65558250014476,24.0,0.3,1.0908739070097606,3.229925397317857,0.2289266288280487,processed_ATL10-02_20240102224204_02312201_006_01.h5,1.15,Combined_25km_jan24_gt1r.csv
-71.70325511354083,-16.734127326138363,18.0,0.16,0.901625394821167,1.848839595913887,0.1112892404198646,processed_ATL10-02_20240103080749_02372201_006_01.h5,0.65,Combined_25km_jan24_gt1r.csv
-71.70325511354083,-16.734127326138363,18.0,0.16,0.901625394821167,1.848839595913887,0.1112892404198646,processed_ATL10-02_20240103080749_02372201_006_01.h5,0.65,Combined_25km_jan24_gt1r.csv
-75.62237495998656,-42.34885337259282,27.0,0.21,1.0323613371167863,11.072555950118437,0.260433167219162,processed_ATL10-02_20240103094206_02382201_006_01.h5,0.83,Combined_25km_jan24_gt1r.csv
-75.62237495998656,-42.34885337259282,27.0,0.21,1.0323613371167863,11.072555950118437,0.260433167219162,processed_ATL10-02_20240103094206_02382201_006_01.h5,0.83,Combined_25km_jan24_gt1r.csv
-68.37796775278612,-41.035912227051,15.0,0.12,,0.0,0.0653970390558242,processed_ATL10-02_20240103221625_02462201_006_01.h5,0.5,Combined_25km_jan24_gt1r.csv
-68.1520317571793,-41.10764314058727,24.0,0.09,,0.0,0.0882566049695015,processed_ATL10-02_20240103221625_02462201_006_01.h5,0.39,Combined_25km_jan24_gt1r.csv
-67.95245343334047,-41.1700563069753,21.0,0.08,,0.0,0.0716692954301834,processed_ATL10-02_20240103221625_02462201_006_01.h5,0.36,Combined_25km_jan24_gt1r.csv
-67.67806208976761,-41.254512815245455,18.0,0.1,,0.0,0.0839275047183036,processed_ATL10-02_20240103221625_02462201_006_01.h5,0.43,Combined_25km_jan24_gt1r.csv
-68.37796775278612,-41.035912227051,15.0,0.12,,0.0,0.0653970390558242,processed_ATL10-02_20240103221625_02462201_006_01.h5,0.5,Combined_25km_jan24_gt1r.csv
-68.1520317571793,-41.10764314058727,24.0,0.09,,0.0,0.0882566049695015,processed_ATL10-02_20240103221625_02462201_006_01.h5,0.39,Combined_25km_jan24_gt1r.csv
-67.95245343334047,-41.1700563069753,21.0,0.08,,0.0,0.0716692954301834,processed_ATL10-02_20240103221625_02462201_006_01.h5,0.36,Combined_25km_jan24_gt1r.csv
-67.67806208976761,-41.254512815245455,18.0,0.1,,0.0,0.0839275047183036,processed_ATL10-02_20240103221625_02462201_006_01.h5,0.43,Combined_25km_jan24_gt1r.csv
